"Name","Unknown"
"New Caledonia","Noum?a"
"New Zealand","Wellington"
"Nicaragua","Managua"
"Niger","System.Object[]"
"Nigeria","Abuja"
"Norfolk Island","Kingston"
"Northern Mariana Islands","Saipan"
"Norway","Oslo"
"Oman","System.Object[]"
"Pakistan","Islamabad"
"Palau","Ngerulmud"
"Panama","Panama City"
"Papua New Guinea","Port Moresby"
"Paraguay","Asunci?n"
"Peru","Lima"
"Philippines","Manila"
"Poland","Warsaw"
"Portugal","Lisbon"
"Puerto Rico","San Juan"
"Qatar","Doha"
"Republic of Korea","System.Object[]"
"Romania","Bucharest"
"Russian Federation","Moscow"
"Rawanda","The remote server returned an error: (404) Not Found."
"Saint Kitts and Nevis","Basseterre"
"Saint Lucia","Castries"
"Saint Pierre and Miquelon","Saint-Pierre"
"Saint vincent and the Grenadines","Kingstown"
"Samoa","System.Object[]"
"San Marino","City of San Marino"
"Sao Tome and Principe","S?o Tom?"
"Saudi Arabia","Riyadh"
"Senegal","Dakar"
"Sierra Leone","Freetown"
"Slovakia","Bratislava"
"Slovenia","Ljubljana"
"Solomon Islands","Honiara"
"Somalia","Mogadishu"
"South Africa","Pretoria"
"Spain","Madrid"
"Sudan","System.Object[]"
"Suriname","Paramaribo"
"Swaziland","Lobamba"
"Sweden","Stockholm"
"Switzerland","Bern"
"Syrian Arab Republic","Damascus"
"Tajikistan","Dushanbe"
"Thailand","Bangkok"
"The Former Yugoslav Republic of Macedonia","The remote server returned an error: (404) Not Found."
"Togo","Lom?"
"Tonga","Nuku'alofa"
"Tunisia","Tunis"
"Turkey","Ankara"
"Turkmenistan","Ashgabat"
"Tuvalu","Funafuti"
"Uganda","Kampala"
"Ukraine","Kiev"
"United Arab Emirates","Abu Dhabi"
"United Kingdom of Great Britain and Northern Ireland","London"
"United Republic of Tanzania","Dodoma"
"United States of America","Washington, D.C."
"United States of Virgin Islands","The remote server returned an error: (404) Not Found."
"Uruguay","Montevideo"
"Uzbekistan","Tashkent"
"Vanuatu","Port Vila"
"Venezuela","Caracas"
"Viet Nam","Hanoi"
"Yugoslavia","The remote server returned an error: (404) Not Found."
"Zambia","Lusaka"
"Zimbabwe","Harare"
